InvoiceNo,CustomerID,StockCode,Quantity,UnitPrice,InvoiceDate
711523,10010,E500,8,17.97,2023-04-19
869460,10053,G700,12,51.31,2023-01-07
986854,10028,G700,17,34.14,2023-08-26
190925,10016,F600,15,129.09,2023-12-07
664685,10223,D400,19,142.76,2023-01-05
381373,10146,F600,15,21.49,2023-08-29
605815,10201,E500,10,10.42,2023-08-22
772052,10077,F600,2,75.86,2023-10-26
364712,10011,C300,15,62.99,2023-06-29
232534,10008,A100,18,76.48,2023-09-13
892330,10201,A100,1,45.0,2023-07-01
586232,10228,C300,11,121.51,2023-06-18
365228,10179,F600,10,85.95,2023-09-08
918438,10148,G700,10,123.4,2023-07-16
695131,10081,F600,17,23.68,2023-09-14
883415,10232,A100,13,107.18,2023-09-23
463339,10092,A100,17,144.69,2023-01-25
368083,10120,B200,17,109.95,2023-12-10
365471,10112,B200,17,27.3,2023-09-09
585651,10077,G700,14,137.54,2023-01-24
609666,10060,F600,9,60.58,2023-08-12
516561,10027,A100,5,48.25,2023-03-01
392253,10245,B200,4,94.05,2023-04-09
970261,10132,D400,2,93.5,2023-06-10
160272,10198,G700,4,34.84,2023-10-24
521909,10216,G700,15,143.18,2023-01-16
976533,10107,C300,6,117.29,2023-11-26
110207,10061,A100,14,64.53,2023-03-20
284779,10170,A100,2,36.86,2023-12-14
825753,10146,D400,15,89.7,2023-05-16
670706,10034,B200,2,4.12,2023-03-20
450605,10069,D400,7,124.58,2023-04-25
912461,10227,B200,3,113.6,2023-04-28
633556,10187,B200,5,142.57,2023-01-22
130461,10096,G700,12,42.26,2023-12-26
251770,10037,G700,13,45.71,2023-01-13
633090,10055,A100,1,65.23,2023-02-22
715115,10193,E500,16,3.49,2023-09-16
983671,10084,B200,14,70.3,2023-02-02
385291,10207,D400,10,18.58,2023-09-20
114859,10001,E500,3,25.18,2023-03-26
662634,10079,E500,7,26.46,2023-05-14
177505,10019,F600,2,97.25,2023-06-18
987121,10027,F600,7,44.46,2023-08-19
462246,10222,A100,15,32.43,2023-02-15
979554,10225,E500,14,122.41,2023-11-13
794489,10249,G700,13,69.0,2023-05-12
507427,10178,G700,4,60.13,2023-07-31
660185,10052,C300,15,123.92,2023-01-18
282051,10030,D400,10,65.53,2023-05-08
934440,10050,E500,18,94.34,2023-05-06
379713,10197,E500,15,25.53,2023-03-22
188835,10155,G700,5,12.15,2023-10-29
679250,10125,E500,8,79.77,2023-07-26
249143,10014,C300,13,122.58,2023-05-15
663634,10194,A100,11,99.24,2023-01-18
842488,10087,G700,8,70.23,2023-10-31
525523,10205,A100,15,119.12,2023-01-16
543833,10104,F600,3,85.31,2023-08-05
910658,10090,B200,3,55.33,2023-04-12
815371,10012,D400,16,76.92,2023-09-22
160545,10000,G700,17,5.63,2023-12-05
506884,10183,F600,11,139.88,2023-11-17
716410,10170,G700,16,107.48,2023-01-14
158596,10134,F600,13,4.95,2023-02-25
966183,10249,D400,14,78.18,2023-04-29
639542,10091,B200,17,126.38,2023-05-13
971803,10068,B200,3,113.84,2023-09-21
501062,10174,B200,14,11.37,2023-09-21
637857,10082,F600,15,50.95,2023-03-08
277789,10041,F600,15,84.83,2023-07-10
569164,10228,B200,19,56.26,2023-07-04
901555,10008,F600,8,43.97,2023-10-24
766326,10230,D400,12,19.58,2023-10-25
644061,10244,B200,15,107.48,2023-02-20
860463,10079,F600,7,92.73,2023-08-27
271616,10161,C300,14,128.42,2023-07-29
474705,10243,F600,5,101.67,2023-06-29
256570,10243,E500,7,102.69,2023-10-01
660849,10232,G700,4,38.76,2023-12-13
198234,10114,A100,5,100.38,2023-12-12
290912,10034,E500,14,23.35,2023-12-06
335419,10214,C300,4,73.55,2023-12-04
415783,10080,F600,4,90.18,2023-06-29
548377,10155,B200,17,92.79,2023-04-02
212138,10092,E500,11,42.13,2023-10-18
971905,10091,F600,18,130.03,2023-10-11
942981,10210,G700,11,87.07,2023-10-28
580350,10227,B200,16,102.23,2023-09-29
789884,10056,C300,10,92.89,2023-01-27
329047,10158,A100,4,144.66,2023-11-02
564008,10030,C300,6,37.14,2023-04-05
393313,10036,F600,16,23.77,2023-05-01
760858,10171,C300,11,25.07,2023-07-02
382152,10163,F600,1,12.42,2023-01-03
782511,10066,F600,14,80.7,2023-01-18
905113,10109,B200,19,27.62,2023-01-31
420815,10104,G700,13,17.43,2023-04-09
718362,10175,B200,14,113.99,2023-01-06
787995,10233,E500,13,134.63,2023-11-16
670201,10248,F600,17,28.76,2023-06-10
143856,10013,D400,13,106.69,2023-02-09
779682,10113,E500,11,36.34,2023-10-03
439933,10126,F600,13,42.06,2023-05-05
765627,10106,A100,18,26.27,2023-07-12
157993,10092,E500,4,53.98,2023-09-15
524724,10046,C300,12,96.47,2023-12-08
919745,10053,B200,16,51.02,2023-05-02
616369,10131,B200,4,49.52,2023-07-02
829963,10083,G700,8,25.09,2023-03-13
905889,10110,D400,10,124.88,2023-03-26
873221,10112,C300,5,76.27,2023-06-17
641656,10033,A100,6,60.18,2023-03-07
209575,10078,F600,12,119.09,2023-09-08
336371,10207,G700,17,109.11,2023-06-16
672643,10230,A100,1,49.97,2023-04-16
819401,10116,A100,14,91.05,2023-06-20
168431,10198,G700,6,36.06,2023-03-07
433977,10042,A100,14,76.55,2023-09-08
323165,10210,F600,4,100.63,2023-09-15
342330,10117,B200,16,129.88,2023-03-25
242867,10183,G700,18,134.72,2023-08-15
100159,10062,D400,19,102.31,2023-08-01
865359,10002,B200,19,95.15,2023-04-29
957342,10056,D400,14,90.63,2023-02-13
281062,10117,B200,17,50.87,2023-08-08
281948,10240,D400,12,10.34,2023-03-23
456992,10216,C300,1,86.64,2023-02-13
593216,10052,B200,2,113.47,2023-05-04
592443,10037,G700,5,72.68,2023-02-17
203920,10024,D400,4,86.87,2023-02-16
244832,10143,G700,4,79.7,2023-12-08
672735,10154,D400,10,126.06,2023-10-23
218094,10090,B200,16,25.73,2023-04-30
907461,10044,A100,14,41.51,2023-02-05
174601,10188,B200,3,111.23,2023-01-25
262002,10156,C300,5,9.77,2023-03-24
770718,10203,C300,17,111.0,2023-07-27
345404,10242,A100,9,79.79,2023-03-19
531739,10166,G700,3,54.49,2023-01-03
165439,10166,D400,11,27.49,2023-11-04
373541,10014,A100,19,25.76,2023-08-12
764795,10029,C300,18,11.45,2023-07-15
569450,10107,B200,11,102.57,2023-06-18
404958,10154,E500,5,13.41,2023-08-05
422918,10045,E500,2,141.38,2023-10-21
255666,10023,D400,4,115.59,2023-05-29
332930,10181,G700,16,149.82,2023-03-09
109726,10035,A100,7,138.35,2023-02-16
538974,10074,A100,16,16.09,2023-10-06
764687,10246,D400,19,91.13,2023-03-28
406822,10173,G700,7,62.09,2023-12-24
311027,10049,A100,6,52.2,2023-04-13
311194,10186,A100,3,27.89,2023-11-18
431328,10081,D400,11,142.01,2023-03-03
613287,10208,G700,7,46.96,2023-03-05
110699,10023,E500,15,106.32,2023-12-28
954336,10228,F600,13,7.65,2023-11-17
155480,10107,A100,13,31.15,2023-01-21
991490,10187,E500,13,40.32,2023-04-07
210776,10131,C300,5,48.77,2023-11-02
466245,10208,D400,9,68.52,2023-01-05
215375,10175,G700,2,17.94,2023-04-12
434517,10036,D400,12,113.02,2023-10-04
930738,10084,E500,10,33.91,2023-12-30
769260,10122,C300,5,86.8,2023-05-05
951587,10045,B200,19,15.74,2023-05-26
908524,10079,A100,15,57.46,2023-08-28
633903,10208,A100,14,40.07,2023-07-18
479862,10040,D400,13,141.99,2023-10-22
341249,10105,C300,14,86.04,2023-10-04
605659,10232,G700,7,126.46,2023-04-04
374329,10032,G700,2,6.99,2023-02-13
912395,10043,F600,4,147.8,2023-04-11
853818,10177,B200,17,62.1,2023-02-16
785503,10119,D400,1,3.46,2023-08-16
772108,10206,B200,16,58.99,2023-08-06
886086,10185,D400,13,73.17,2023-04-24
928894,10215,G700,14,84.35,2023-12-19
897955,10230,A100,3,72.94,2023-09-24
225865,10171,F600,17,14.34,2023-03-08
908985,10104,F600,2,121.71,2023-03-02
636226,10170,D400,12,146.42,2023-08-06
496308,10015,F600,17,127.07,2023-07-18
297227,10100,D400,5,40.35,2023-09-28
383028,10200,D400,2,144.76,2023-11-01
391975,10249,G700,16,10.41,2023-06-09
592750,10085,A100,12,121.86,2023-01-10
650428,10087,B200,3,62.74,2023-08-20
942210,10170,A100,1,34.39,2023-01-02
362091,10004,G700,16,145.35,2023-09-10
635337,10117,A100,8,30.12,2023-08-05
318306,10127,B200,4,48.76,2023-01-21
607353,10160,B200,13,73.07,2023-05-16
611603,10000,F600,19,70.45,2023-04-11
708806,10163,E500,17,109.11,2023-09-05
498838,10146,G700,10,99.92,2023-07-01
408617,10238,C300,13,101.72,2023-08-11
681780,10001,E500,8,7.03,2023-06-18
775159,10243,B200,1,134.72,2023-10-21
752665,10030,F600,19,133.2,2023-04-24
538755,10114,F600,13,120.83,2023-06-20
802214,10126,F600,18,149.14,2023-05-31
806528,10133,D400,4,41.55,2023-10-25
266892,10204,F600,13,98.55,2023-09-16
560188,10133,E500,13,119.18,2023-07-30
775887,10165,C300,1,57.88,2023-08-18
742762,10218,C300,6,72.06,2023-01-01
317583,10151,C300,10,42.35,2023-08-03
164384,10219,D400,2,2.75,2023-05-17
698506,10034,E500,11,57.05,2023-02-04
191563,10059,C300,15,21.91,2023-02-27
929690,10068,C300,13,30.91,2023-04-25
444138,10051,B200,3,123.91,2023-07-18
953725,10228,G700,10,54.0,2023-07-06
653958,10201,D400,5,29.22,2023-11-25
198064,10037,B200,10,94.96,2023-12-02
712439,10077,B200,16,112.95,2023-03-26
703724,10118,G700,4,118.64,2023-02-27
524149,10051,B200,15,133.53,2023-05-22
671621,10004,D400,8,93.69,2023-11-02
961291,10071,E500,8,59.81,2023-05-28
728274,10154,E500,14,33.75,2023-07-07
184700,10008,G700,9,10.68,2023-01-31
267527,10023,F600,11,122.46,2023-07-21
210155,10059,G700,9,127.48,2023-11-07
100654,10240,C300,7,101.79,2023-06-17
473706,10032,D400,8,105.39,2023-07-29
979005,10086,F600,2,30.68,2023-02-21
375796,10180,D400,15,144.79,2023-01-17
341133,10172,D400,17,112.55,2023-12-14
744161,10167,E500,10,145.92,2023-04-02
243927,10081,E500,12,45.45,2023-10-18
851395,10017,F600,5,46.77,2023-08-20
109927,10008,C300,15,2.84,2023-06-03
572585,10071,B200,1,30.85,2023-06-26
753015,10060,B200,4,70.62,2023-01-11
715645,10153,C300,5,92.65,2023-08-18
172588,10014,G700,12,56.53,2023-12-29
910927,10245,F600,18,44.14,2023-09-18
302056,10060,C300,16,62.12,2023-12-21
672203,10046,A100,17,104.0,2023-05-11
323894,10233,A100,12,79.1,2023-04-21
667354,10147,D400,8,85.62,2023-07-01
710724,10057,B200,9,96.02,2023-11-11
905878,10171,B200,2,32.03,2023-01-07
890141,10071,E500,18,114.14,2023-01-04
881817,10021,D400,16,107.51,2023-02-23
365406,10165,F600,19,48.98,2023-01-08
457546,10237,E500,14,66.61,2023-05-18
778556,10142,B200,1,139.13,2023-01-18
252889,10219,E500,5,31.72,2023-04-19
760775,10198,D400,3,85.03,2023-01-09
254599,10247,F600,18,136.82,2023-04-25
534352,10050,B200,2,6.69,2023-10-28
135292,10177,G700,4,67.44,2023-05-29
451977,10024,B200,18,48.8,2023-08-29
834417,10097,G700,8,112.84,2023-12-12
772747,10154,F600,3,28.03,2023-07-21
286493,10190,C300,19,80.06,2023-12-01
829678,10013,F600,19,147.09,2023-09-12
540917,10077,G700,18,97.89,2023-11-22
798876,10245,G700,17,33.33,2023-06-23
560014,10238,C300,4,95.6,2023-07-24
773422,10099,F600,18,104.25,2023-10-06
215374,10178,C300,19,116.57,2023-04-22
541501,10152,E500,3,87.1,2023-11-25
291335,10063,G700,7,14.33,2023-06-30
650448,10172,B200,16,88.51,2023-09-27
544718,10125,A100,8,88.9,2023-08-05
440053,10139,G700,13,36.22,2023-09-08
302630,10110,E500,4,30.41,2023-03-17
813987,10147,C300,6,35.03,2023-09-03
489593,10027,D400,18,12.49,2023-09-06
878493,10234,B200,18,115.48,2023-09-24
378104,10114,G700,16,123.33,2023-08-15
345127,10153,B200,19,33.59,2023-08-07
369544,10160,A100,17,9.77,2023-03-02
237900,10238,D400,5,100.76,2023-03-21
438113,10237,A100,15,42.22,2023-04-06
129956,10210,E500,11,64.78,2023-04-06
205573,10215,G700,12,26.46,2023-09-09
547875,10082,D400,17,14.25,2023-05-15
383816,10056,C300,11,82.43,2023-09-26
225657,10073,E500,16,111.6,2023-10-09
939319,10233,D400,7,20.84,2023-12-28
535686,10165,E500,1,58.9,2023-11-10
151567,10063,F600,17,57.42,2023-07-03
484708,10044,A100,18,119.18,2023-04-15
402950,10119,D400,19,48.98,2023-09-07
962881,10183,D400,15,67.3,2023-09-19
374864,10196,C300,13,88.97,2023-11-07
246692,10083,D400,15,117.15,2023-06-08
149589,10088,B200,14,92.04,2023-12-15
815232,10151,D400,2,49.88,2023-02-01
170313,10119,E500,4,104.0,2023-03-10
358072,10112,A100,13,64.86,2023-08-08
701383,10014,C300,16,102.43,2023-01-10
545377,10010,F600,8,92.62,2023-03-22
983096,10025,D400,17,40.25,2023-05-21
190272,10120,A100,14,64.87,2023-09-14
792797,10003,D400,15,73.97,2023-10-14
395830,10102,C300,1,137.77,2023-09-09
112828,10017,C300,12,138.32,2023-02-12
235203,10233,A100,13,129.45,2023-03-10
427825,10075,B200,19,73.61,2023-10-27
598870,10205,F600,9,35.77,2023-03-08
790955,10052,G700,19,6.84,2023-03-16
169087,10237,C300,4,103.17,2023-01-09
914486,10025,A100,17,40.59,2023-07-14
899395,10083,G700,14,20.95,2023-02-05
997048,10094,A100,14,82.11,2023-01-23
643176,10038,A100,14,56.92,2023-07-26
115534,10009,D400,2,122.67,2023-01-02
939385,10152,G700,5,3.29,2023-01-20
317400,10141,C300,3,108.12,2023-07-06
645977,10159,D400,13,132.29,2023-04-03
248066,10079,G700,3,62.85,2023-03-15
303861,10121,E500,3,113.34,2023-10-22
793618,10062,F600,8,33.73,2023-12-31
814834,10144,D400,10,5.68,2023-03-19
168968,10046,A100,7,140.2,2023-12-09
123236,10123,D400,17,54.92,2023-06-23
320884,10127,F600,1,90.69,2023-11-11
907655,10016,E500,18,26.3,2023-08-04
972437,10099,B200,19,9.29,2023-04-28
843974,10099,E500,12,40.03,2023-07-02
704365,10029,B200,5,47.08,2023-02-07
328584,10002,F600,14,128.97,2023-08-08
978260,10247,D400,3,20.22,2023-09-22
101917,10095,F600,7,61.35,2023-08-13
601233,10147,F600,7,95.99,2023-01-18
967392,10056,E500,6,128.82,2023-03-02
188741,10020,E500,11,102.85,2023-03-16
148639,10086,F600,8,26.64,2023-08-27
310017,10125,A100,16,99.04,2023-01-03
706200,10239,C300,12,26.3,2023-02-08
548982,10150,B200,15,129.19,2023-12-19
867285,10072,E500,4,10.6,2023-07-14
132711,10231,E500,3,73.34,2023-04-18
585687,10180,D400,19,106.48,2023-01-11
176290,10205,E500,19,53.03,2023-12-27
551282,10085,G700,14,100.92,2023-12-29
729698,10007,F600,17,142.69,2023-01-14
933238,10068,F600,19,70.77,2023-12-03
437201,10015,B200,1,53.6,2023-04-02
208946,10148,C300,9,64.52,2023-06-28
568535,10212,B200,19,78.04,2023-03-17
855801,10094,C300,7,77.79,2023-11-11
465838,10230,B200,12,12.21,2023-12-31
438041,10057,D400,14,25.27,2023-08-31
700541,10099,A100,1,39.5,2023-09-14
386103,10024,B200,5,130.56,2023-10-23
975206,10139,D400,9,149.76,2023-05-04
961756,10159,C300,15,149.66,2023-07-24
453824,10100,C300,15,105.83,2023-11-06
233883,10136,F600,7,112.29,2023-08-21
580488,10147,E500,18,61.86,2023-12-04
320156,10166,C300,4,51.33,2023-03-16
494093,10168,E500,6,123.07,2023-10-23
135525,10096,E500,12,95.42,2023-07-26
776341,10129,G700,2,21.31,2023-08-27
672212,10062,C300,18,143.49,2023-09-10
231184,10140,A100,10,44.26,2023-10-15
419658,10068,C300,5,137.06,2023-11-10
494583,10230,F600,2,127.31,2023-03-15
751406,10224,F600,18,28.3,2023-11-04
528638,10167,D400,15,137.07,2023-01-20
680086,10150,C300,9,118.71,2023-06-10
307609,10095,F600,4,81.36,2023-05-23
738273,10158,D400,14,143.05,2023-09-20
438526,10033,G700,17,8.3,2023-10-24
266926,10108,A100,1,49.38,2023-04-27
635017,10089,A100,1,20.6,2023-01-12
790824,10195,B200,16,111.87,2023-02-16
988943,10004,D400,18,141.47,2023-11-14
388998,10022,A100,13,148.47,2023-11-22
406691,10210,G700,12,20.33,2023-07-03
763070,10016,G700,2,58.48,2023-01-21
571082,10192,A100,16,41.84,2023-04-15
835716,10239,A100,1,122.56,2023-02-11
577910,10177,F600,10,149.03,2023-04-21
793590,10125,C300,13,95.3,2023-11-14
233296,10114,F600,12,53.74,2023-05-09
913560,10133,F600,15,138.77,2023-10-25
967918,10017,F600,5,134.38,2023-12-10
986559,10111,A100,6,4.45,2023-02-14
652452,10218,G700,18,16.38,2023-03-04
278296,10205,D400,5,28.04,2023-09-15
175277,10015,C300,9,44.42,2023-06-23
977284,10239,E500,12,49.84,2023-09-12
211086,10210,F600,14,21.04,2023-12-27
162068,10126,D400,17,144.31,2023-09-16
807755,10232,F600,18,140.88,2023-01-17
895928,10149,D400,2,147.85,2023-10-11
335295,10022,C300,1,105.19,2023-07-26
391999,10193,D400,13,118.74,2023-06-09
514170,10207,E500,15,61.05,2023-06-13
806791,10080,G700,17,114.44,2023-07-04
742536,10072,D400,2,62.55,2023-02-04
413837,10165,F600,1,54.81,2023-02-14
430825,10092,E500,13,28.23,2023-03-30
522355,10127,F600,1,124.53,2023-01-30
146015,10079,E500,18,81.75,2023-12-10
170474,10008,F600,16,105.42,2023-01-16
595972,10115,E500,7,77.28,2023-12-04
717296,10193,E500,16,9.07,2023-04-28
435834,10167,C300,11,94.15,2023-11-17
273615,10115,A100,1,32.79,2023-10-24
895219,10074,G700,15,4.94,2023-10-26
202877,10152,C300,16,141.71,2023-08-31
899482,10036,G700,5,12.61,2023-06-02
197462,10079,A100,2,38.24,2023-09-29
397515,10001,E500,15,42.53,2023-08-03
493574,10101,A100,1,136.28,2023-01-20
684570,10120,A100,3,104.57,2023-05-17
548013,10202,E500,9,16.73,2023-11-18
311837,10188,F600,1,25.53,2023-10-12
870188,10089,D400,10,107.35,2023-11-13
207041,10014,C300,7,134.91,2023-09-05
667873,10101,E500,13,3.28,2023-04-17
652004,10104,E500,7,81.32,2023-01-08
308281,10121,E500,1,93.62,2023-02-13
514027,10012,B200,4,27.55,2023-12-09
996473,10070,F600,5,147.09,2023-08-03
289216,10249,C300,10,8.33,2023-09-02
815601,10146,F600,4,110.88,2023-09-25
925553,10142,E500,9,28.59,2023-08-17
666134,10100,A100,18,65.8,2023-09-12
673212,10217,A100,12,59.65,2023-01-01
667201,10048,E500,5,116.85,2023-01-04
360529,10112,E500,15,94.86,2023-08-20
280324,10223,E500,12,110.23,2023-03-22
666134,10072,B200,9,129.15,2023-12-05
225438,10220,B200,19,8.89,2023-12-19
275607,10116,G700,18,11.34,2023-12-13
699032,10144,B200,2,45.91,2023-11-24
451279,10204,G700,8,79.62,2023-12-30
278048,10111,C300,18,88.8,2023-11-09
497783,10166,A100,9,97.59,2023-03-08
266991,10102,F600,5,75.68,2023-07-06
924837,10190,G700,13,28.88,2023-04-22
856547,10153,F600,9,127.85,2023-05-18
576813,10033,A100,9,2.53,2023-12-07
247631,10015,D400,1,96.32,2023-07-16
777236,10195,A100,12,52.24,2023-11-18
461309,10040,A100,13,120.65,2023-10-04
312204,10206,B200,10,86.06,2023-02-15
307596,10187,A100,11,15.32,2023-08-19
869727,10131,F600,11,24.99,2023-09-15
424464,10162,F600,7,47.73,2023-08-05
713858,10105,A100,7,58.97,2023-06-03
486858,10072,E500,6,51.85,2023-01-29
855612,10015,A100,16,123.59,2023-10-28
970946,10051,B200,5,39.03,2023-12-23
296375,10154,E500,6,60.66,2023-08-28
132441,10049,E500,8,20.07,2023-03-01
771256,10159,C300,4,100.62,2023-07-16
855164,10099,G700,9,26.06,2023-02-25
802461,10181,C300,10,59.86,2023-02-10
962605,10085,A100,13,102.97,2023-04-18
101132,10188,C300,7,101.03,2023-01-15
928791,10092,C300,16,10.38,2023-08-24
390696,10036,B200,12,74.76,2023-08-27
713079,10000,G700,7,86.64,2023-10-02
221958,10024,E500,10,91.41,2023-04-29
835457,10036,F600,18,88.43,2023-01-29
850201,10091,E500,16,97.01,2023-09-27
284423,10226,E500,10,30.54,2023-01-22
157062,10170,B200,11,53.97,2023-08-02
385248,10137,B200,6,54.03,2023-06-05
338389,10240,B200,4,58.09,2023-08-24
222788,10067,A100,8,19.32,2023-07-17
833429,10209,E500,10,120.35,2023-11-10
295713,10034,A100,11,123.47,2023-12-29
853926,10102,D400,5,137.67,2023-06-14
301893,10190,E500,3,50.38,2023-07-29
799597,10099,F600,9,18.75,2023-12-13
249395,10179,E500,17,77.43,2023-03-14
659931,10078,D400,1,34.13,2023-12-04
229312,10012,G700,10,8.65,2023-05-12
286987,10163,D400,18,14.42,2023-04-23
996209,10139,C300,8,6.49,2023-10-05
543066,10200,G700,11,94.93,2023-10-13
536679,10084,A100,4,43.2,2023-06-15
732336,10156,G700,16,88.99,2023-08-31
350144,10184,D400,2,72.97,2023-04-05
268502,10025,C300,15,109.84,2023-09-24
742249,10092,F600,8,4.34,2023-12-03
943890,10049,A100,2,104.64,2023-10-21
516704,10201,A100,16,119.76,2023-05-10
863799,10142,G700,9,96.66,2023-04-22
990617,10109,C300,11,64.45,2023-03-08
127302,10044,G700,7,31.47,2023-07-09
670126,10053,A100,19,125.33,2023-08-17
680780,10065,D400,17,126.3,2023-11-28
653091,10187,B200,10,140.12,2023-07-24
208944,10014,C300,1,22.58,2023-07-02
487960,10204,F600,8,3.5,2023-02-26
658819,10235,B200,19,42.71,2023-04-04
